70-viva-1235	13	. 								Et 				paon 				de 		tens 					après				, 					lou 				cadet 						quand 		aguet 			fachs 				"sa
            "						pacoutille 															se 			mettec 		en 	route							,	et 	s’	en 					anec 																	dinc 		un 		païs 								éloigna	, 									ounte 						mangée 				"tout
            "		ce 	qu’	aïe 																														embe 	les 	femelles					.
71-fran-1269	13	. 												Pou 				de 		dzor 					après				, 					le 			pie 	dzouveno 								a 			import 	avoé 	lui 	"to
            "	ciu 	que 			l’		aveive 													et 																	s’	in 	n’	est 	fin 	n’	all 	voyadjé 																in 	n’	un 		pays								éloigna 										yo 			el 			a dépinso 				to 		son 		bin 														in 		déboutze																					.
72-fran-1269	13	. 												Stice 	vitou 																														l’	a 	a	to 	ramassâ 				san 	que 			l’	ètei 	schon				, 									è 																	l’			"è
            "			zelâ 														dato 	liin 		frou 		dau 		paï									, 									yô 		la 			to 	dispèrsâ 											in 		fasan 										la 	dèboûtze																					.
73-fran-1270	13	. 								Y 		al 	cap 			de 			pochs 	dias									, 				juntaut 	le 	fill 			menor 														tot 	"la
            "	que 				era 	seu				, 																										s’	en 					anà 															lluny 		à 		un 		paìs 			estramy						, 		y 		alli 											dissipà				tots 		sos 		bens       					vivint 											dissolutament																					.
74-fran-1270	13	. 								Et 				pou 		dé 				dzers 					aprai					quand 				le 				dzouveno 				valet 				a 	"sau
            "	tôt 	amassa														, 									il 																	s’	en 					alla 															défro 		en 		on 		payes 								eloigni	, 		et 							inke 			il 			medja 						son 		bin 			"en
            "		viven 																									avallé 						prodigalita	.
75-viva-1235	13	. 												Kaque 						zeur 					apré				,					le 			pé 	djouânna 											ramassa 			to 	çan 	k’			"al
            "		avai				, 									poué 					moda 																																			dien 		on 		pay 							bein 	luian	, 									yô 		y 				dissipa 				to 		son 		bein 																														avouai 	"dé
            "	fenne					.
76-viva-1235	13	. 												Paou 				de 		jours 					après				, 					lou 			pu 	jouvë 	d’	aquëous 	dous 	"ënfans
            "				ayënt 			amassa 			tout 	ce 	qu’					avié				, 																										sën 						anë 	vouyagear 																dins 		un 		païs								esluegna	, 									"ountë
            "						dissipé 				tout 		soun 		bèn 			ën 					ëxcès	, 	ët 				ën 		desbaoutcbes																					.
77-roma-1326	13	. 												Pochs 				dis 		zieva 					haviand 									il 	filg 			juven 											accolt 			"tuot
            "							insemel				, 																																giet 																	in 				pajais 								dalônsch	, 		e 													disfet 		lô 		tuot 	il 				sieu	, 			"vivand
            "											schlaschedamang																					.
78-roma-1326	13	. 								Et 			davò 	brichia 					bleers 	dits 													ha 	il 				juven 											raspà 										insembel	lot			, 	et 								eis 					chiamina 																																			in 		ün 		pajais 								dalônsch 			et 		tschâ 					bal 						disfat 						"sea
            "		substanza 					vivond 											lischiergins																					.
79-lang-1309	13	. 												Paou 				de 		jhours 					après				, 					lou 			pus 	jhoûiné 	d’	aquelés 	"dous
            "	éfans 			en 	avé 			acampa 			tou 	so 	q’					avié																														s’	ën 					ané 																, 	dinz 		un 		péisbé 								anyena	, 									ounté 						"escampillé
            "				tou 		soun 		bé 			ën 													débaouchos																					.
81-prov-1235	13	. 								Eune 				escousse 											apreux				, 					l’			pu 	jeune 	d’	sé 	deux 	"éfants
            "							ramâssit 			tout 	sen 	mâgot 										et 																									s’	n 					allit 	valeter 																ava 		lé 		pais 								lointains	, 									ioù 	qu’	"i
            "				mangit 				tout 		sé 		quibus 														en 		bamboches																					.
82-prov-1235	13	. 												Quauqueis 						jours 					après 									lou 			plus 	jouïné 	deis 		dous 	"enfans
            "				aguen 			amassai 			tout 	ce 	qu’					avie 																														s’	en 					anet 																	dins 		un 		pays 			estrangier 				fuesso 	luen	. 									"Doûnté
            "						dissipet 				tout 		soun 		ben 			en 					esses 		et 				en 		debauchos																					.
83-prov-1235	13	. 												Doui 		di 									appressou 									rou 			chu 	jouvé 	de 	chi 	doui 	fanti				aguendou 			rejounchou 			toutou 	ce 	que 			l’		avéva				, 	ou 																									sé 	n’					anda 																	enté 		un 		paysé 			"straniou
            "				força 	longui	, 									oundé 						scouroubria 				tutou 	rou 	so 		ben 			en 					foulié 		et 				en 		débaucho																					.
84-high-1290	13	. 								Et 																																																																s’		étant 	retira 					de 	près	de		gliou	, 	él 							alla 																	dai 		"on
            "		pahis 								liai	, 									ivoé 			él 			dépeinça 		jò 				tson 		bein 																														avoé 	dès 	fénnés 		débautschies			.
85-fran-1270	13	. 								È 																																																																se 			retiret 						fueu 	d’	aivô 	lu 	; 	èl 							allet 																	dain 		in 		"pays
            "								éloingnie	, 									voù 			el 			dépensét 				tôt 		son 		bîn 			en 		vétisaint 																									aivô 	des 	fannes 	"de
            "	métscbainne 	vie		.
81-fran-1270	13	. 								Et 																																																																s’		étant 	retirie 					de 	devar 			liu 		al 							alla 																	dai 		in 		païs 							"bin
            "	lien 					youest 								al 			consuma 				tôt 		son 		bin 			en 		vivant 																									avo 	des 	fonnés		débautschies			.
82-fran-viva	13	. 								A 																																																																l’		ayant 	quitta 											al 	s’	on 					ollet 																	dans 		in 		pays 							bin 	eloingnie	, 									voù 			al 			dépodet 				tôt 		son 		bin 																														avo 	des 	fonne 	de 	movaje 	vie		.
