70-viva-1235	22	. 	Alor 						lou 	père 			dissec 		à 		ses 	varlets 						: 								Aduse 		ly 				vite 					"une
            "		belle 	raoube									, 					passa 		ly 		le			, 	et 				bette 		ly 		une 	bague 				ou 		de 			et 				des 	souliers 	"es
            "			pes				.
71-fran-1269	22	. 	Mais 						le 	père 			a det 		à 		sou 	valets 						: 								Apporta 		ley 			"
            "	to de suite 	sa 		première 					roba 										é mes 	la 	lei 		bota 							; 					metté 		ley 		ona 	baga 				u 		dey 			é 				dè 	solar 	"è
            "			pia 				;
73-fran-1270	22	. 	Mes 						lo 	pare 			digué 		à 		sos 	criats 						: 								Partau 						aqui 					la 			"roba
            "	bôna								, 	y 				vestiulo							, 	y 				posauli 				un 	annell 				en 	son 	dit			y 					calsat 	en 		sos 	"peus
            "				:
74-fran-1270	22	. 	Mâ 						le 	paire 			déjà 		à 		sé’	servetaux 						: 								Apporta 		mé 									la 	"plie
            "	balla 	roba 										et 		l’	en 	reveti							, 	et 				bailli 		lai 		onna 	bagua 				ou 		dai 			a 				di 	solàs 	"i
            "			pis				.
75-viva-1235	22	. 	Pouai 						son 	pâre 			desive 		à 		son 	valets 						: 								Apporta 											la 	"plié
            "	balla 	roba 										é 				bouta 		la 		liui			, 					bouta 		liui 		ouna 	bagua 				ù 		dai		, 	pouai 	bailli 		liui 	"dé
            "	cholars								.
76-viva-1235	22	. 	Alors 						lou 	pèrë 			disë 		a 		sous 	serviteurs 						: 								"Appourta
            "						proumptamën 					la 	pu 	belle 	raoube 										ët 		l’	ën 	vestissë 							’	ël 				mëtté 		li 		un 	anneou 				ou 		"dëu
            "			ët 				dë 	souliers 	à 		sous 	pès				.
77-roma-1326	22	. 	Ma 						il 	bap 			dschet 		a 		sieus 	famalags 						: 								Aporlé 											il 	pü 	"bel
            "	vestimaint									, 	et 				vesti’				l 			; 	et 				de 		l’ 		ün 	ané 				in 	sien 	maun 			et 					scharpas 	in 		siens 	"peis
            "				?
78-roma-1326	22	. 	Ma 						il 	bap 			ha dit 		a 		sees 	servients 						: 							Dalunga 	porteinang		il 							prüm 					büechemaint									, 					trateint 				el 			, 					dat 				ün 	anné 				in 	sees 	mang 			et 					"schiarpas
            "	in 		sees 	pees				.
79-lang-1309	22	. 	Adoun 						lou 	pero 			diguet 		à 		sous 	messajhes 						: 								Anascerca 											"la
            "	pu 	belo 	raoubo 										é 				metés 		la 		li 	sus el		, 	et 				metés 		li 		uno 	bago 				aou 		dé 			é 				dé 	sabatos 	"à
            "		sous 	pezes				.
81-prov-1235	22	. 	Pour lors 						l’	père 			fît 		à 		sé 	gens 						: 		Allais 			v’s-	en	vitement	qu’ri											la 	pu 	belle 	blaôde 										et 				mettais			-	li 	su l’dos							coulais	-	li 	itou 	"eunne
            "	bague 				au 		deigt 			et 	passais	-	li 	dé 	souyers 	és 			pieds				.
82-prov-1235	22	. 	Alors 						lou 	pèro 			diguet 		à 		seis 	domestiques 						: 								Adduses							sa 		premiero 					raoubo									, 	et 				vestisses 				lou 			; 					mettes	-	li 		une 	bague 				oou 		det 			"et
            "				de 	souliers 	eis 			peds				.
83-prov-1235	22	. 	Alavou 						rou 	par 			diché 		à 	ri 	seui 	valleti 						: 								Aduémé 						"prestou
            "	ra soua 		primera 					roba 										é 				vesti 				roué 								mettégué 				una 	bagua 				à 	rou 	driou 			é 				dri 	caoussai 	à 	"ri
            "	seui 	péi				.
